ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a District based table with the following filters applied: State(s) (All Years): All 50 + DC

Agency Name,State Name [District] Latest available year,Total Students All Grades (Excludes AE) [District] 2024-25,Agency ID - NCES Assigned [District] Latest available year,Locale [District] 2024-25
ADVANTAGE ARTS ACADEMY,UTAH,354,4900198,41-Rural: Fringe
ADVANTAGE CHARTER ACADEMY,LOUISIANA,743,2200268,41-Rural: Fringe
AEA 13 GREEN HILLS AEA,Iowa,†,1999013,41-Rural: Fringe
AECI II:  NYC CHARTER HS,NEW YORK,449,3601195,11-City: Large
AEROSTEM ACADEMY DISTRICT,CALIFORNIA,116,0601724,22-Suburb: Mid-size
AFFTON 101,Missouri,2619,2902910,21-Suburb: Large
AFSA HIGH SCHOOL,Minnesota,395,2700186,21-Suburb: Large
AFTON,Oklahoma,407,4002520,42-Rural: Distant
AFTON CENTRAL SCHOOL DISTRICT,New York,450,3602400,42-Rural: Distant
AGAMIM CLASSICAL ACADEMY,Minnesota,266,2700394,13-City: Small
AGAPE ACHIEVEMENT ACADEMY,NORTH CAROLINA,†,3705081,12-City: Mid-size
AGAR-BLUNT-ONIDA SCHOOL DISTRICT 58-3,South Dakota,216,4600042,43-Rural: Remote
AGATE SCHOOL DISTRICT NO. 300,Colorado,85,0801980,43-Rural: Remote
AGAWAM,Massachusetts,3461,2501800,21-Suburb: Large
AGBU ALEX-MARIE MANOOGIAN SCHOOL,Michigan,426,2600106,13-City: Small
AGGIE ACADEMY,NORTH CAROLINA,85,3700487,11-City: Large
AGNES J. JOHNSON CHARTER DISTRICT,CALIFORNIA,91,0602543,43-Rural: Remote
AGORA CYBER CS,Pennsylvania,4169,4200140,21-Suburb: Large
AGRA,Oklahoma,305,4002550,42-Rural: Distant
AGUA DULCE ISD,Texas,421,4807530,42-Rural: Distant
AGUA FRIA UNION HIGH SCHOOL DISTRICT (4289),Arizona,10089,0400450,21-Suburb: Large
AGUILA ELEMENTARY DISTRICT (4249),Arizona,141,0400480,43-Rural: Remote
AGUILAR REORGANIZED SCHOOL DISTRICT NO. 6,Colorado,127,0802010,43-Rural: Remote
AGWSR COMM SCHOOL DISTRICT,Iowa,642,1903060,42-Rural: Distant
AHSTW COMM SCHOOL DISTRICT,Iowa,755,1904080,43-Rural: Remote
AIBT NON-PROFIT CHARTER HIGH SCHOOL - PHOENIX (79053),Arizona,96,0400274,11-City: Large
AIBT NON-PROFIT CHARTER HIGH SCHOOL INC. (449790),ARIZONA,11,0400970,21-Suburb: Large
AIKEN 01,South Carolina,22916,4500720,21-Suburb: Large
AIM ACADEMY OF SCIENCE & TECHNOLOGY,MINNESOTA,178,2700469,11-City: Large
AIMS COLLEGE PREP HIGH DISTRICT,CALIFORNIA,386,0602227,11-City: Large
AIMS COLLEGE PREP MIDDLE DISTRICT,CALIFORNIA,200,0601479,11-City: Large
AINSWORTH COMMUNITY SCHOOLS,Nebraska,383,3102790,43-Rural: Remote
AIRLINE CSD,Maine,30,2302500,42-Rural: Distant
AIRPORT COMMUNITY SCHOOLS,Michigan,2814,2601980,41-Rural: Fringe
AITKIN PUBLIC SCHOOL DISTRICT,Minnesota,989,2702760,43-Rural: Remote
AJO UNIFIED DISTRICT (4409),Arizona,397,0400520,43-Rural: Remote
AKIMEL O OTHAM PEE POSH CHARTER SCHOOL INC. (5978),Arizona,46,0400403,42-Rural: Distant
AKIMEL O'OTHAM PEE POSH CHARTER SCHOOL INC. (78966),Arizona,10,0400404,42-Rural: Distant
AKIN CCSD 91,Illinois,124,1703210,42-Rural: Distant
AKRON CAREER TECH HIGH SCHOOL,OHIO,93,3901631,12-City: Mid-size
