ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a District based table with the following filters applied: State(s) (All Years): All 50 + DC

Agency Name,State Name [District] Latest available year,Total Students All Grades (Excludes AE) [District] 2024-25,Agency ID - NCES Assigned [District] Latest available year,Locale [District] 2024-25
ALEXANDER CENTRAL SCHOOL DISTRICT,New York,745,3602580,42-Rural: Distant
ALEXANDER CITY,Alabama,2836,0100030,32-Town: Distant
ALEXANDER COUNTY SCHOOLS,North Carolina,4344,3700090,42-Rural: Distant
ALEXANDER LOCAL,Ohio,1362,3904590,42-Rural: Distant
ALEXANDER PUBLIC SCHOOLS,Maine,44,2302280,43-Rural: Remote
ALEXANDER VALLEY UNION ELEMENTARY,California,111,0601890,41-Rural: Fringe
ALEXANDRIA CENTRAL SCHOOL DISTRICT,New York,465,3602670,42-Rural: Distant
ALEXANDRIA CITY PUBLIC SCHOOLS,Virginia,16575,5100120,12-City: Mid-size
ALEXANDRIA COMMUNITY SCHOOL CORP,Indiana,1374,1800120,31-Town: Fringe
ALEXANDRIA PUBLIC SCHOOL DISTRICT,Minnesota,4034,2703060,33-Town: Remote
ALEXANDRIA TOWNSHIP SCHOOL DISTRICT,New Jersey,422,3400690,42-Rural: Distant
ALFRED-ALMOND CENTRAL SCHOOL DISTRICT,New York,505,3602700,42-Rural: Distant
ALGOMA SCHOOL DISTRICT,Wisconsin,623,5500150,42-Rural: Distant
ALGONA COMM SCHOOL DISTRICT,Iowa,1622,1903360,41-Rural: Fringe
ALGONAC COMMUNITY SCHOOL DISTRICT,Michigan,1299,2602190,21-Suburb: Large
ALHAMBRA ELEMENTARY DISTRICT (4280),Arizona,9742,0400600,11-City: Large
ALHAMBRA UNIFIED,California,14597,0600153,21-Suburb: Large
ALICE ISD,Texas,4297,4807800,32-Town: Distant
ALICE M HARTE ELEMENTARY CHARTER SCHOOL,LOUISIANA,725,2200279,11-City: Large
ALIEF ISD,Texas,38610,4807830,11-City: Large
ALIEF MONTESSORI COMMUNITY SCHOOL,Texas,367,4800035,11-City: Large
ALINE-CLEO,Oklahoma,110,4002720,43-Rural: Remote
ALIQUIPPA SD,Pennsylvania,989,4202130,21-Suburb: Large
ALISAL UNION,California,7303,0601950,12-City: Mid-size
ALL ABOARD CHARTER SCHOOL (79969),Arizona,†,0400396,11-City: Large
ALL TRIBES CHARTER DISTRICT,CALIFORNIA,82,0601989,42-Rural: Distant
ALL TRIBES ELEMENTARY CHARTER DISTRICT,CALIFORNIA,84,0601521,42-Rural: Distant
ALLAMAKEE COMM SCHOOL DISTRICT,Iowa,1174,1903390,43-Rural: Remote
ALLAMUCHY TOWNSHIP SCHOOL DISTRICT,New Jersey,427,3400720,41-Rural: Fringe
ALLEGAN AREA EDUCATIONAL SERVICE AGENCY,Michigan,552,2680100,32-Town: Distant
ALLEGAN PUBLIC SCHOOLS,Michigan,2046,2602220,32-Town: Distant
ALLEGANY COUNTY PUBLIC SCHOOLS,Maryland,8113,2400030,33-Town: Remote
ALLEGANY-LIMESTONE CENTRAL SCHOOL DISTRICT,New York,1050,3600015,41-Rural: Fringe
ALLEGHANY COUNTY SCHOOLS,North Carolina,1352,3700120,43-Rural: Remote
ALLEGHANY HIGHLANDS PUBLIC SCHOOLS,Virginia,2804,5100152,41-Rural: Fringe
ALLEGHENY IU 3,Pennsylvania,534,4289130,21-Suburb: Large
ALLEGHENY VALLEY SD,Pennsylvania,903,4202190,21-Suburb: Large
ALLEGHENY-CLARION VALLEY SD,Pennsylvania,574,4202310,43-Rural: Remote
ALLEGIANCE STEAM ACADEMY - THRIVE DISTRICT,CALIFORNIA,950,0602175,13-City: Small
ALLEGIANCE STEAM ACADEMY - THRIVE FONTANA DISTRICT,CALIFORNIA,245,0691138,21-Suburb: Large
ALLEGIANT PREPARATORY ACADEMY,INDIANA,166,1800199,11-City: Large
ALLEN,Oklahoma,462,4002760,43-Rural: Remote
ALLEN CONSOLIDATED SCHOOLS,Nebraska,131,3102880,42-Rural: Distant
ALLEN COUNTY,Kentucky,3138,2100070,32-Town: Distant
ALLEN COUNTY ESC,Ohio,0,3904574,41-Rural: Fringe
ALLEN EAST LOCAL,Ohio,1042,3904575,41-Rural: Fringe
ALLEN ISD,Texas,20838,4807890,21-Suburb: Large
ALLEN PARISH,Louisiana,3853,2200060,42-Rural: Distant
ALLEN PARK PUBLIC SCHOOLS,Michigan,3713,2602520,21-Suburb: Large
ALLEN VILLAGE,Missouri,384,2900025,11-City: Large
ALLEN-BOWDEN,Oklahoma,294,4002790,41-Rural: Fringe
ALLEN-COCHRAN ENTERPRISES INC. (4347),Arizona,332,0400111,12-City: Mid-size
ALLEN-OTTER CREEK CCSD 65,Illinois,96,1703420,42-Rural: Distant
ALLENDALE 01,South Carolina,855,4500750,43-Rural: Remote
ALLENDALE CCSD 17,Illinois,131,1703450,42-Rural: Distant
ALLENDALE PUBLIC SCHOOL DISTRICT,New Jersey,860,3400750,21-Suburb: Large
ALLENDALE PUBLIC SCHOOLS,Michigan,2568,2602550,31-Town: Fringe
ALLENHURST SCHOOL DISTRICT,New Jersey,†,3400780,21-Suburb: Large
ALLENSTOWN SCHOOL DISTRICT,New Hampshire,350,3301380,41-Rural: Fringe
ALLENSWORTH ELEMENTARY,California,118,0601980,42-Rural: Distant
ALLENTOWN CITY SD,Pennsylvania,16769,4202280,12-City: Mid-size
ALLIANCE ACADEMY OF CINCINNATI,Ohio,350,3900130,11-City: Large
ALLIANCE CINDY AND BILL SIMON TECH ACAD HIGH DIST,CALIFORNIA,474,0602119,11-City: Large
ALLIANCE CITY,Ohio,3019,3904349,31-Town: Fringe
ALLIANCE COLLEGE-READY MIDDLE ACADEMY 12 DISTRICT,CALIFORNIA,496,0602453,11-City: Large
ALLIANCE COLLEGE-READY MIDDLE ACADEMY 4 DISTRICT,CALIFORNIA,486,0601865,11-City: Large
ALLIANCE COLLEGE-READY MIDDLE ACADEMY 8 DISTRICT,CALIFORNIA,396,0601589,21-Suburb: Large
ALLIANCE COLLINS FAMILY COLLEGE-READY HIGH DISTRICT,CALIFORNIA,633,0601666,21-Suburb: Large
ALLIANCE COMMUNITY SCHOOLS INC. DBA DAYTON LEADERSHIP ACADE,Ohio,552,3900083,12-City: Mid-size
ALLIANCE DR. OLGA MOHAN HIGH DISTRICT,CALIFORNIA,456,0601926,11-City: Large
ALLIANCE FOR PROGRESS CS,Pennsylvania,618,4200039,11-City: Large
ALLIANCE GERTZ-RESSLER RICHARD MERKIN 6-12 COMPLEX DISTRICT,CALIFORNIA,1031,0602176,11-City: Large
ALLIANCE JACK H. SKIRBALL MIDDLE DISTRICT,CALIFORNIA,390,0601694,11-City: Large
ALLIANCE JUDY IVIE BURTON TECHNOLOGY ACADEMY HIGH DISTRICT,CALIFORNIA,616,0601934,11-City: Large
ALLIANCE KORY HUNTER MIDDLE DISTRICT,CALIFORNIA,470,0601542,21-Suburb: Large
ALLIANCE LEICHTMAN-LEVINE FAM FOUNDATION ENV SCI HIGH DIST,CALIFORNIA,296,0601690,11-City: Large
ALLIANCE MARC & EVA STERN MATH AND SCIENCE DISTRICT,CALIFORNIA,558,0602446,11-City: Large
ALLIANCE MARGARET M. BLOOMFIELD TECH ACAD HIGH DIST,CALIFORNIA,565,0601707,21-Suburb: Large
ALLIANCE MARINE - INNOVATION AND TECH 6-12 COMPLEX DIST,CALIFORNIA,1100,0601835,11-City: Large
ALLIANCE MORGAN MCKINZIE HIGH DISTRICT,CALIFORNIA,450,0602407,21-Suburb: Large
ALLIANCE OUCHI-O'DONOVAN 6-12 COMPLEX DISTRICT,CALIFORNIA,998,0602266,11-City: Large
ALLIANCE PATTI AND PETER NEUWIRTH LEADERSHIP ACAD DIST,CALIFORNIA,603,0602362,11-City: Large
ALLIANCE PIERA BARBAGLIA SHAHEEN HLT SRVS ACAD DIST,CALIFORNIA,433,0601900,11-City: Large
ALLIANCE PUBLIC SCHOOLS,Nebraska,1310,3102910,33-Town: Remote
ALLIANCE RENEE AND MEYER LUSKIN ACADEMY HIGH DISTRICT,CALIFORNIA,525,0602279,11-City: Large
ALLIANCE SUSAN AND ERIC SMIDT TECHNOLOGY HIGH DISTRICT,CALIFORNIA,239,0602190,11-City: Large
ALLIANCE TED K. TAJIMA HIGH DISTRICT,CALIFORNIA,484,0601568,11-City: Large
ALLIANCE TENNENBAUM FAMILY TECHNOLOGY HIGH DISTRICT,CALIFORNIA,174,0602289,11-City: Large
ALLIANCE VIRGIL ROBERTS LEADERSHIP ACADEMY DISTRICT,CALIFORNIA,399,0601654,11-City: Large
ALLOWAY TWP SCHOOL DISTRICT,New Jersey,271,3400810,42-Rural: Distant
ALMA CENTER SCHOOL DISTRICT,Wisconsin,589,5500210,42-Rural: Distant
ALMA D'ARTE CHARTER,New Mexico,63,3500116,12-City: Mid-size
ALMA DEL MAR CHARTER SCHOOL,Massachusetts,1042,2500525,22-Suburb: Mid-size
ALMA FUERTE PUBLIC DISTRICT,CALIFORNIA,227,0602408,12-City: Mid-size
ALMA PUBLIC SCHOOLS,Michigan,1815,2602640,32-Town: Distant
ALMA PUBLIC SCHOOLS,Nebraska,382,3100080,43-Rural: Remote
ALMA SCHOOL DISTRICT,Arkansas,3092,0502250,22-Suburb: Mid-size
ALMA SCHOOL DISTRICT,Wisconsin,264,5500180,43-Rural: Remote
ALMIRA SCHOOL DISTRICT,Washington,129,5300090,43-Rural: Remote
ALMOND ACRES CHARTER ACADEMY DISTRICT,CALIFORNIA,478,0601943,13-City: Small
ALMOND-BANCROFT SCHOOL DISTRICT,Wisconsin,351,5500240,43-Rural: Remote
ALMONT COMMUNITY SCHOOLS,Michigan,1389,2602670,42-Rural: Distant
ALPAUGH UNIFIED,California,345,0602010,42-Rural: Distant
ALPENA PUBLIC SCHOOLS,Michigan,3553,2602730,33-Town: Remote
ALPENA SCHOOL DISTRICT,Arkansas,402,0502280,42-Rural: Distant
ALPENA-MONTMORENCY-ALCONA ESD,Michigan,248,2680120,33-Town: Remote
ALPHA ACADEMY,North Carolina,960,3700103,12-City: Mid-size
ALPHA BOROUGH SCHOOL DISTRICT,New Jersey,219,3400840,21-Suburb: Large
ALPHA CINDY AVITIA HIGH DISTRICT,CALIFORNIA,405,0601636,11-City: Large
ALPHA: BLANCA ALVARADO DISTRICT,CALIFORNIA,500,0602221,11-City: Large
ALPHA: CORNERSTONE ACADEMY PREPARATORY DISTRICT,CALIFORNIA,554,0601671,11-City: Large
ALPHA: JOSE HERNANDEZ DISTRICT,CALIFORNIA,440,0602144,11-City: Large
ALPINE COUNTY OFFICE OF EDUCATION,California,4,0691058,42-Rural: Distant
ALPINE COUNTY UNIFIED,California,57,0602070,42-Rural: Distant
ALPINE DISTRICT,Utah,86645,4900030,21-Suburb: Large
ALPINE ELEMENTARY DISTRICT (4161),Arizona,56,0400630,43-Rural: Remote
ALPINE ISD,Texas,905,4807950,33-Town: Remote
ALPINE PUBLIC SCHOOL DISTRICT,New Jersey,150,3400870,21-Suburb: Large
ALPINE UNION ELEMENTARY,California,1441,0602100,31-Town: Fringe
ALSEA SD 7J,Oregon,235,4101200,42-Rural: Distant
ALSIP-HAZLGRN-OAKLWN SD 126,Illinois,1595,1703480,21-Suburb: Large
ALT ED PRGM/BEHAV DISORD YOUTH/MONTGOMERY,Virginia,†,5100078,13-City: Small
ALTA LOMA ELEMENTARY,California,5543,0602160,21-Suburb: Large
ALTA VISTA ELEMENTARY,California,531,0602220,23-Suburb: Small
ALTA VISTA INNOVATION HIGH DISTRICT,CALIFORNIA,2812,0601625,21-Suburb: Large
ALTA-AURELIA COMM SCHOOL DISTRICT,Iowa,829,1903480,42-Rural: Distant
ALTA-DUTCH FLAT UNION ELEMENTARY,California,99,0602250,42-Rural: Distant
ALTAMONT CUSD 10,Illinois,684,1703510,42-Rural: Distant
ALTAR VALLEY ELEMENTARY DISTRICT (4418),Arizona,479,0404770,42-Rural: Distant
ALTENBURG 48,Missouri,113,2903040,42-Rural: Distant
ALTERNATIVE EDUCATION ACADEMY,Ohio,6276,3900203,21-Suburb: Large
ALTERNATIVE EDUCATIONAL ACADEMY OF IOSCO COUNTY,Michigan,171,2601034,33-Town: Remote
ALTERNATIVE EDUCATIONAL ACADEMY OF OGEMAW COUNTY,MICHIGAN,128,2601092,43-Rural: Remote
ALTERNATIVES IN ACTION DISTRICT,CALIFORNIA,106,0601635,11-City: Large
ALTMAR-PARISH-WILLIAMSTOWN CENTRAL SCHOOL DISTRICT,New York,1043,3602820,42-Rural: Distant
ALTO ISD,Texas,505,4807980,43-Rural: Remote
ALTON CUSD 11,Illinois,5526,1703600,23-Suburb: Small
ALTON R-IV,Missouri,571,2903060,43-Rural: Remote
ALTON SCHOOL DISTRICT,New Hampshire,410,3301440,32-Town: Distant
ALTOONA AREA SD,Pennsylvania,6852,4202340,13-City: Small
ALTOONA SCHOOL DISTRICT,Wisconsin,1778,5500270,22-Suburb: Mid-size
ALTOONA-MIDWAY,Kansas,151,2004170,42-Rural: Distant
ALTURA PREPARATORY SCHOOL,NEW MEXICO,263,3500178,11-City: Large
ALTURAS INTERNATIONAL ACADEMY INC.,IDAHO,572,1600175,13-City: Small
ALTURAS PREPARATORY ACADEMY INC,IDAHO,463,1600199,13-City: Small
ALTUS,Oklahoma,3593,4002850,33-Town: Remote
ALTUS SCHOOLS AUDEO DISTRICT,CALIFORNIA,450,0601522,11-City: Large
ALTUS SCHOOLS CHARTER SCHOOL OF SAN DIEGO DISTRICT,CALIFORNIA,1375,0601876,11-City: Large
ALTUS SCHOOLS EAST COUNTY DISTRICT,CALIFORNIA,287,0601940,21-Suburb: Large
ALTUS SCHOOLS MIRUS CHARTER DISTRICT,CALIFORNIA,292,0601847,21-Suburb: Large
ALTUS SCHOOLS NORTH COUNTY DISTRICT,CALIFORNIA,149,0602248,21-Suburb: Large
ALTUS SCHOOLS SOUTH BAY DISTRICT,CALIFORNIA,372,0601509,21-Suburb: Large
ALUM ROCK UNION ELEMENTARY,California,7259,0602310,11-City: Large
ALVA,Oklahoma,1054,4002880,33-Town: Remote
ALVARADO ISD,Texas,3788,4800011,41-Rural: Fringe
ALVIEW-DAIRYLAND UNION ELEMENTARY,California,399,0602360,42-Rural: Distant
ALVIN C. YORK AGRICULTURAL INSTITUTE,Tennessee,493,4700144,43-Rural: Remote
ALVIN ISD,Texas,30038,4808090,21-Suburb: Large
ALVINA ELEMENTARY,California,169,0602370,42-Rural: Distant
ALVORD ISD,Texas,844,4808100,42-Rural: Distant
ALVORD UNIFIED,California,16466,0602430,11-City: Large
ALWOOD CUSD 225,Illinois,356,1703660,42-Rural: Distant
ALXNDR/JCKSN/PULSK/PRRY/UNION ROE,Illinois,0,1700190,42-Rural: Distant
ALZADA ELEM,Montana,8,3001950,43-Rural: Remote
AMADOR COUNTY OFFICE OF EDUCATION,California,23,0691001,32-Town: Distant
AMADOR COUNTY ROP,California,0,0600089,32-Town: Distant
AMADOR COUNTY UNIFIED,California,4036,0602450,32-Town: Distant
AMAGANSETT UNION FREE SCHOOL DISTRICT,New York,112,3602880,31-Town: Fringe
AMANDA-CLEARCREEK LOCAL,Ohio,1493,3904684,42-Rural: Distant
AMANI PUBLIC CHARTER SCHOOL,New York,314,3601051,21-Suburb: Large
AMARILLO ISD,Texas,29321,4808130,12-City: Mid-size
AMBASSADOR PHILLIP V. SANCHEZ II PUBLIC CHARTER DISTRICT,CALIFORNIA,261,0602167,11-City: Large
AMBASSADORS PREPARATORY ACADEMY,Texas,167,4800284,13-City: Small
AMBER CHARTER SCHOOL EAST HARLEM,New York,288,3600039,11-City: Large
AMBER CHARTER SCHOOL INWOOD,NEW YORK,179,3601228,11-City: Large
AMBER CHARTER SCHOOL KINGSBRIDGE,NEW YORK,720,3601149,11-City: Large
AMBER-POCASSET,Oklahoma,412,4002910,42-Rural: Distant
AMBITION PREPARATORY CHARTER SCHOOL,MISSISSIPPI,563,2800197,12-City: Mid-size
AMBOY CUSD 272,Illinois,722,1703690,42-Rural: Distant
AMBRIDGE AREA SD,Pennsylvania,2189,4202440,21-Suburb: Large
AMELIA COUNTY PUBLIC SCHOOLS,Virginia,1600,5100180,42-Rural: Distant
AMELIA-NOTTOWAY VOCATIONAL-TECHNICAL CENTER,Virginia,†,5100013,42-Rural: Distant
AMERICA'S FINEST CHARTER DISTRICT,CALIFORNIA,396,0601468,11-City: Large
AMERICAN ACADEMY OF INNOVATION,UTAH,373,4900186,41-Rural: Fringe
AMERICAN BASIC SCHOOLS LLC (79215),Arizona,634,0400218,11-City: Large
AMERICAN CHARTER SCHOOLS FOUNDATION D.B.A. ALTA VI (80995),Arizona,495,0400619,11-City: Large
AMERICAN CHARTER SCHOOLS FOUNDATION D.B.A. APACHE  (79883),Arizona,184,0400357,21-Suburb: Large
AMERICAN CHARTER SCHOOLS FOUNDATION D.B.A. CRESTVI (79874),Arizona,239,0400385,11-City: Large
AMERICAN CHARTER SCHOOLS FOUNDATION D.B.A. DESERT  (79872),Arizona,231,0400384,11-City: Large
AMERICAN CHARTER SCHOOLS FOUNDATION D.B.A. ESTRELL (79873),Arizona,138,0400352,21-Suburb: Large
AMERICAN CHARTER SCHOOLS FOUNDATION D.B.A. PEORIA  (79875),Arizona,496,0400353,21-Suburb: Large
AMERICAN CHARTER SCHOOLS FOUNDATION D.B.A. SOUTH P (80989),Arizona,615,0400618,11-City: Large
AMERICAN CHARTER SCHOOLS FOUNDATION D.B.A. SOUTH R (88334),Arizona,359,0400447,11-City: Large
AMERICAN CHARTER SCHOOLS FOUNDATION D.B.A. SUN VAL (79877),Arizona,345,0400354,11-City: Large
AMERICAN CHARTER SCHOOLS FOUNDATION D.B.A. WEST PH (79879),Arizona,403,0400355,11-City: Large
AMERICAN CHARTER SCHOOLS FOUNDATION DBA RIDGEVIEW  (1001346),ARIZONA,229,0401005,21-Suburb: Large
AMERICAN DREAM CHARTER SCHOOL,NEW YORK,603,3601119,11-City: Large
AMERICAN FALLS JOINT DISTRICT,Idaho,1514,1600060,42-Rural: Distant
AMERICAN HERITAGE CHARTER SCHOOL INC.,Idaho,560,1600162,41-Rural: Fringe
AMERICAN INDIAN PUBLIC CHARTER SCHOOL II DISTRICT,CALIFORNIA,617,0601880,11-City: Large
AMERICAN INTERNATIONAL ACADEMY,Michigan,660,2600986,21-Suburb: Large
AMERICAN LEADERSHIP ACADEMY,Utah,1597,4900033,21-Suburb: Large
AMERICAN LEADERSHIP ACADEMY - JOHNSTON,NORTH CAROLINA,2082,3700477,41-Rural: Fringe
AMERICAN LEADERSHIP ACADEMY INC. (4348),Arizona,15291,0400112,41-Rural: Fringe
AMERICAN LEADERSHIP ACADEMY-COASTAL,NORTH CAROLINA,1002,3700412,41-Rural: Fringe
AMERICAN MONTESSORI ACADEMY,Michigan,441,2600312,21-Suburb: Large
AMERICAN PREPARATORY ACADEMY,Utah,5174,4900005,21-Suburb: Large
AMERICAN PRINCIPLES ACADEMY,UTAH,204,4901202,33-Town: Remote
AMERICAN RENAISSANCE SCHOOL,North Carolina,823,3700086,31-Town: Fringe
AMERICAN RIVER COLLEGIATE ACADEMY DISTRICT,CALIFORNIA,132,0602541,21-Suburb: Large
AMERICAN VIRTUAL ACADEMY (79461),Arizona,6378,0400329,11-City: Large
AMERY SCHOOL DISTRICT,Wisconsin,1252,5500300,43-Rural: Remote
AMES COMM SCHOOL DISTRICT,Iowa,4728,1903540,13-City: Small
AMESBURY,Massachusetts,1793,2501860,21-Suburb: Large
AMHERST,Massachusetts,1038,2501890,13-City: Small
AMHERST CENTRAL SCHOOL DISTRICT,New York,3033,3602920,21-Suburb: Large
AMHERST COUNTY PUBLIC SCHOOLS,Virginia,3900,5100210,42-Rural: Distant
AMHERST EXEMPTED VILLAGE,Ohio,3533,3904519,22-Suburb: Mid-size
AMHERST ISD,Texas,102,4808160,42-Rural: Distant
AMHERST PUBLIC SCHOOLS,Nebraska,360,3100070,43-Rural: Remote
AMHERST SCHOOL DISTRICT,New Hampshire,1311,3301470,41-Rural: Fringe
AMHERST-PELHAM,Massachusetts,1182,2501920,13-City: Small
AMIGOS POR VIDA-FRIENDS FOR LIFE PUB CHTR SCH,Texas,750,4800113,11-City: Large
AMISTAD ACADEMY DISTRICT,Connecticut,1105,0900024,12-City: Mid-size
AMITE COUNTY SCHOOL DISTRICT,Mississippi,914,2800420,43-Rural: Remote
AMITY SD 4J,Oregon,748,4101230,42-Rural: Distant
AMITYVILLE UNION FREE SCHOOL DISTRICT,New York,2872,3602940,21-Suburb: Large
AMORY SCHOOL DISTRICT,Mississippi,1461,2800450,41-Rural: Fringe
AMPHITHEATER UNIFIED DISTRICT (4406),Arizona,11277,0400680,21-Suburb: Large
AMSTERDAM CITY SCHOOL DISTRICT,New York,3757,3602970,32-Town: Distant
AMSTERDAM ELEM,Montana,149,3001980,42-Rural: Distant
AMY BIEHL CHARTER HIGH SCHOOL,New Mexico,196,3500131,11-City: Large
ANACONDA ELEM,Montana,727,3002010,33-Town: Remote
ANACONDA H S,Montana,305,3002030,33-Town: Remote
ANACORTES SCHOOL DISTRICT,Washington,2595,5300150,31-Town: Fringe
ANADARKO,Oklahoma,1309,4003000,32-Town: Distant
ANAHEIM ELEMENTARY,California,13838,0602610,11-City: Large
ANAHEIM UNION HIGH,California,26120,0602630,11-City: Large
ANAHUAC ISD,Texas,1552,4808190,42-Rural: Distant
ANAHUACALMECAC INTERNATIONAL UNIV PREP OF N. AMERICA DIST,CALIFORNIA,252,0601925,11-City: Large
ANAMOOSE 14,North Dakota,73,3801950,43-Rural: Remote
ANAMOSA COMM SCHOOL DISTRICT,Iowa,1128,1903570,32-Town: Distant
ANCHOR BAY SCHOOL DISTRICT,Michigan,5334,2602790,21-Suburb: Large
ANCHORAGE INDEPENDENT,Kentucky,392,2100090,21-Suburb: Large
ANCHORAGE SCHOOL DISTRICT,Alaska,42573,0200180,11-City: Large
ANDALUSIA CITY,Alabama,1823,0100060,41-Rural: Fringe
ANDERSON,Oklahoma,280,4003010,41-Rural: Fringe
ANDERSON 01,South Carolina,10886,4500780,41-Rural: Fringe
ANDERSON 02,South Carolina,3404,4500810,42-Rural: Distant
ANDERSON 03,South Carolina,2772,4500840,41-Rural: Fringe
ANDERSON 04,South Carolina,3076,4500870,41-Rural: Fringe
ANDERSON 05,South Carolina,12131,4500900,22-Suburb: Mid-size
ANDERSON 80,South Carolina,0,4500760,41-Rural: Fringe
ANDERSON 81,SOUTH CAROLINA,0,4503911,22-Suburb: Mid-size
ANDERSON ACADEMY,NORTH CAROLINA,†,3705085,11-City: Large
ANDERSON COMMUNITY SCHOOL CORP,Indiana,6181,1800150,13-City: Small
ANDERSON COUNTY,Kentucky,3633,2100120,41-Rural: Fringe
ANDERSON COUNTY,Tennessee,6018,4700090,21-Suburb: Large
ANDERSON CREEK ACADEMY,North Carolina,305,3700381,41-Rural: Fringe
ANDERSON ELEM,Montana,221,3002070,41-Rural: Fringe
ANDERSON PREPARATORY ACADEMY,Indiana,777,1800077,13-City: Small
ANDERSON UNION HIGH,California,1581,0602700,42-Rural: Distant
ANDERSON VALLEY UNIFIED,California,382,0602730,43-Rural: Remote
ANDERSON-SHIRO CISD,Texas,979,4808230,42-Rural: Distant
ANDES CENTRAL SCHOOL DISTRICT,New York,74,3603000,43-Rural: Remote
ANDES CENTRAL SCHOOL DISTRICT 11-1,South Dakota,323,4639540,43-Rural: Remote
ANDOVER,Kansas,9460,2003360,21-Suburb: Large
ANDOVER,Massachusetts,5414,2501950,21-Suburb: Large
ANDOVER CENTRAL SCHOOL DISTRICT,New York,245,3603030,42-Rural: Distant
ANDOVER PUBLIC SCHOOLS,MAINE,27,2314823,42-Rural: Distant
ANDOVER REGIONAL SCHOOL DISTRICT,New Jersey,480,3400900,31-Town: Fringe
ANDOVER SCHOOL DISTRICT,Connecticut,239,0900030,41-Rural: Fringe
ANDOVER SCHOOL DISTRICT,New Hampshire,169,3301500,42-Rural: Distant
ANDREW COMM SCHOOL DISTRICT,Iowa,125,1903630,42-Rural: Distant
ANDREW J BROWN ACADEMY,Indiana,435,1800042,11-City: Large
ANDREWS ISD,Texas,4209,4808280,32-Town: Distant
ANGLETON ISD,Texas,7105,4808310,31-Town: Fringe
ANIMAS,New Mexico,165,3500090,43-Rural: Remote
ANIMO CITY OF CHAMPIONS CHARTER HIGH DISTRICT,CALIFORNIA,299,0602307,21-Suburb: Large
ANIMO COMPTON CHARTER DISTRICT,CALIFORNIA,372,0602187,21-Suburb: Large
ANIMO ELLEN OCHOA CHARTER MIDDLE DISTRICT,CALIFORNIA,280,0601658,21-Suburb: Large
ANIMO FLORENCE-FIRESTONE CHARTER MIDDLE DISTRICT,CALIFORNIA,437,0602096,21-Suburb: Large
ANIMO INGLEWOOD CHARTER HIGH DISTRICT,CALIFORNIA,592,0602471,21-Suburb: Large
ANIMO JACKIE ROBINSON HIGH DISTRICT,CALIFORNIA,607,0601657,11-City: Large
ANIMO JAMES B. TAYLOR CHARTER MIDDLE DISTRICT,CALIFORNIA,464,0601960,11-City: Large
ANIMO JEFFERSON CHARTER MIDDLE DISTRICT,CALIFORNIA,427,0602344,11-City: Large
ANIMO LEADERSHIP HIGH DISTRICT,CALIFORNIA,634,0602052,21-Suburb: Large
ANIMO LEGACY CHARTER MIDDLE DISTRICT,CALIFORNIA,887,0601624,21-Suburb: Large
ANIMO MAE JEMISON CHARTER MIDDLE DISTRICT,CALIFORNIA,441,0601649,21-Suburb: Large
ANIMO PAT BROWN DISTRICT,CALIFORNIA,617,0602257,21-Suburb: Large
ANIMO RALPH BUNCHE CHARTER HIGH DISTRICT,CALIFORNIA,533,0601899,11-City: Large
ANIMO SOUTH LOS ANGELES CHARTER DISTRICT,CALIFORNIA,585,0602435,21-Suburb: Large
ANIMO VENICE CHARTER HIGH DISTRICT,CALIFORNIA,335,0602461,11-City: Large
ANIMO WATTS COLLEGE PREPARATORY ACADEMY DISTRICT,CALIFORNIA,546,0602219,21-Suburb: Large
ANKENY COMM SCHOOL DISTRICT,Iowa,12746,1903690,21-Suburb: Large
ANN ARBOR PUBLIC SCHOOLS,Michigan,16871,2602820,12-City: Mid-size
ANN JERKINS-HARRIS ACADEMY OF EXCELLENCE,Ohio,129,3901502,11-City: Large
ANNA CCSD 37,Illinois,593,1703750,32-Town: Distant
ANNA ISD,Texas,6038,4808340,31-Town: Fringe
ANNA JONESBORO CHSD 81,Illinois,476,1703780,32-Town: Distant
ANNA LOCAL,Ohio,1064,3910004,42-Rural: Distant
ANNANDALE PUBLIC SCHOOL DISTRICT,Minnesota,2006,2703150,42-Rural: Distant
ANNAWAN CUSD 226,Illinois,342,1703810,42-Rural: Distant
ANNE ARUNDEL COUNTY PUBLIC SCHOOLS,Maryland,85029,2400060,21-Suburb: Large
ANNETTE ISLAND SCHOOL DISTRICT,Alaska,301,0200525,43-Rural: Remote
ANNEX SD 29,Oregon,131,4101350,41-Rural: Fringe
ANNISTON CITY,Alabama,1821,0100090,13-City: Small
ANNVILLE-CLEONA SD,Pennsylvania,1435,4202490,23-Suburb: Small
ANOKA-HENNEPIN SCHOOL DISTRICT,Minnesota,38354,2703180,21-Suburb: Large
ANSELMO-MERNA PUBLIC SCHOOLS,Nebraska,249,3100010,43-Rural: Remote
ANSER OF IDAHO INC.,IDAHO,573,1600195,21-Suburb: Large
ANSLEY PUBLIC SCHOOLS,Nebraska,186,3103060,43-Rural: Remote
ANSON COUNTY SCHOOLS,North Carolina,2924,3700180,42-Rural: Distant
ANSON ISD,Texas,723,4808400,42-Rural: Distant
ANSONIA LOCAL,Ohio,809,3904662,42-Rural: Distant
ANSONIA SCHOOL DISTRICT,Connecticut,2404,0900060,21-Suburb: Large
ANTELOPE ELEMENTARY,California,788,0602760,32-Town: Distant
